,1/length,ID,roe_kj/mol,smiles_monomer,smiles_polymer,source,one_hot_fp_dft,one_hot_fp_expt
0,0.0,1.0,-9.85,CC1OCCOC1=O,[*]OCCOC(C)C([*])=O,expt,0,1
1,0.0,4.0,-16.8,CC1CCC(C(C)C)OC(=O)C1,[*]OC(CCC(C)CC([*])=O)C(C)C,expt,0,1
2,0.0,6.0,-13.8,CC1CCOC(=O)C1,[*]OCCC(C)CC([*])=O,expt,0,1
3,0.0,7.0,-5.4,O=C1CCCO1,[*]OCCCC([*])=O,expt,0,1
4,0.0,9.0,-13.8,CC1CCCC(=O)O1,[*]OC(C)CCCC([*])=O,expt,0,1
5,0.0,12.0,-17.1,CCCCCC1CCCC(=O)O1,[*]OC(CCCCC)CCCC([*])=O,expt,0,1
6,0.0,13.0,-11.6,CC1OCCC(=O)O1,[*]OC(C)OCCC([*])=O,expt,0,1
7,0.0,15.0,-14.1,O=C1COCCO1,[*]OCCOCC([*])=O,expt,0,1
8,0.0,17.0,-8.4,O=C1CCCCO1,[*]OCCCCC([*])=O,expt,0,1
9,0.0,19.0,-14.0,O=C1CCCCCO1,[*]OCCCCCC([*])=O,expt,0,1
10,0.0,21.0,-18.0,O=C2CC1CCCCC1O2,[*]OC1CCCCC1CC([*])=O,expt,0,1
11,0.0,23.0,-15.6,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,[*]SC1CC(C([*])=O)N(C(=O)OC(C)(C)C)C1,expt,0,1
12,0.0,24.0,-9.4,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,[*]SC(C)(C)C(NC(=O)OCCOCCOCCOCC=C)C([*])=O,expt,0,1
13,0.0,25.0,-20.0,O=C1OCC2CCCCC12,[*]OCC1CCCCC1C([*])=O,expt,0,1
14,0.0,32.0,-22.0,C=CCOCC1(CC)COC(=O)OC1,[*]CC(CC)(COCC=C)COC(=O)O[*],expt,0,1
15,0.0,39.0,-79.84,CCCCC1(C)CNC1=O,[*]NCC(C)(CCCC)C([*])=O,expt,0,1
16,0.0,49.0,-113.0,C1CC1,[*]CCC[*],expt,0,1
17,0.0,50.0,-94.0,C1CO1,[*]CCO[*],expt,0,1
18,0.0,51.0,-105.01,C1CCC1,[*]CCCC[*],expt,0,1
19,0.0,52.0,-81.0,O=C1CCO1,[*]OCCC([*])=O,expt,0,1
20,0.0,53.0,-21.2,C1CCCC1,[*]CCCCC[*],expt,0,1
21,0.0,787.0,-5.4,O=C1CCCCS1,[*]CCCCC(=O)S[*],expt,0,1
22,0.0,949.0,-9.5,O=C1CSCCS1,[*]SCCSCC([*])=O,expt,0,1
23,0.0,969.0,-14.0,COP1(=O)OCCO1,[*]OCCOP([*])(=O)OC,expt,0,1
24,0.0,979.0,-8.0,O=C1CCCCCCCCCCCCO1,[*]OCCCCCCCCCCCCC([*])=O,expt,0,1
25,0.0,981.0,-23.0,O=C2OC1CCCCC1O2,[*]OC1CCCCC1OC([*])=O,expt,0,1
26,0.0,983.0,-26.0,O=C1OCCCO1,[*]OCCCOC([*])=O,expt,0,1
27,0.0,986.0,-24.0,C1CCOC1,[*]CCCCO[*],expt,0,1
28,0.0,988.0,-18.0,O=C1NCCCO1,[*]OCCCNC([*])=O,expt,0,1
29,0.0,993.0,2.9288,C1CCCCC1,[*]CCCCCC[*],expt,0,1
30,0.0,994.0,-21.7568,C1CCCCCC1,[*]CCCCCCC[*],expt,0,1
31,0.0,995.0,-34.7272,C1CCCCCCC1,[*]CCCCCCCC[*],expt,0,1
32,0.0,1002.0,-23.43,C1=CCCC1,[*]CCCCC=[*],expt,0,1
33,0.0,1003.0,-23.012,O=S1(=O)CCCO1,[*]CCCS(=O)(=O)O[*],expt,0,1
34,0.0,1007.0,-19.63,CC(C)(C)OC(=O)N1CCOC(=O)C1,[*]OCCN(CC([*])=O)C(=O)OC(C)(C)C,expt,0,1
35,0.0,1026.0,-15.7,O=C(OCC)CCCCC1CCSS1,[*]SCCC(CCCCC(OCC)=O)S[*],expt,0,1
36,0.0,1027.0,-1.07,O=C(OCC(C)COC(C1=CC=C(C(OCC(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,[*]C(C1=CC=C(C(OCC(C)CO[*])=O)C=C1)=O,expt,0,1
37,0.0,1028.0,-2.67,O=C(OCC(C)(C)COC(C1=CC=C(C(OCC(C)(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,[*]C(C1=CC=C(C(OCC(C)(C)CO[*])=O)C=C1)=O,expt,0,1
38,0.0,1029.0,-22.59,CC1CCOC1,[*]OCC(C)CC[*],expt,0,1
39,0.0,1030.0,-21.34,C1C=CCC1C2=CC=CC=C2,[*]=CCC(C1=CC=CC=C1)CC=[*],expt,0,1
40,0.0,1031.0,-23.8,O=C1N[C@H]2CCC[C@@H]1O2,O=C([C@@H]1CC[C@@H](OC1)N[*])[*],expt,0,1
41,0.0,1034.0,-100.83,CC1CC1,[*]CC(C)C[*],expt,0,1
42,0.0,1035.0,-95.81,CC1CCC1,[*]CCC(C)C[*],expt,0,1
43,0.0,1036.0,-12.97,CC1CCCC1,[*]CCCC(C)C[*],expt,0,1
44,0.0,1037.0,13.39,CC1CCCCC1,[*]CC(C)CCCC[*],expt,0,1
45,0.0,1038.0,-57.32,CC1(C)CC1,[*]CC(C)(C)C[*],expt,0,1
46,0.0,1039.0,-85.35,CC1(C)CCC1,[*]CC(C)(C)CC[*],expt,0,1
47,0.0,1040.0,0.84,CC1(C)CCCC1,[*]CC(C)(C)CCC[*],expt,0,1
48,0.0,1041.0,21.76,CC1(C)CCCCC1,[*]CC(C)(CCCC[*])C,expt,0,1
49,0.0,1043.0,-24.23,S=C1CCCCCO1,[*]CCCCCC(=S)O[*],expt,0,1
50,0.0,1044.0,-19.25,O=C1OCCCCCC1,O=C(CCCCCCO[*])[*],expt,0,1
51,0.0,1045.0,-14.1,O=C1S[C@@H]2CC[C@H]1C2,[*]SC1CCC(C([*])=O)C1,expt,0,1
52,0.0,1048.0,-19.3,CC1(C)SCCSC1=O,[*]CCSC(C)(C)C(=O)S[*],expt,0,1
53,0.0,1049.0,-10.2,CC1SCCSC1=O,[*]CCSC(C)C(=O)S[*],expt,0,1
54,0.0,1050.0,-13.0,CC1CCCOC1=O,[*]OCCCC(C)C([*])=O,expt,0,1
55,0.0,1051.0,-15.8,CC1CCC(=O)OC1,[*]OCC(C)CCC([*])=O,expt,0,1
56,0.0,1052.0,-16.4,CCC1CCCC(=O)O1,[*]OC(CC)CCCC([*])=O,expt,0,1
57,0.0,1053.0,-18.5,CCCC1CCCC(=O)O1,[*]OC(CCC)CCCC([*])=O,expt,0,1
58,0.0,1054.0,-17.0,CCCCC1CCCC(=O)O1,[*]OC(CCCC)CCCC([*])=O,expt,0,1
59,0.0,1056.0,-18.4,CCCCCCC1CCCC(=O)O1,[*]OC(CCCCCC)CCCC([*])=O,expt,0,1
60,0.0,1057.0,-18.7,CCCCCCCC1CCCC(=O)O1,[*]OC(CCCCCCC)CCCC([*])=O,expt,0,1
61,0.0,1058.0,-16.8,CCCCCCCCCC1CCCC(=O)O1,[*]OC(CCCCCCCCC)CCCC([*])=O,expt,0,1
62,0.0,1059.0,-16.8,CC(C)C1CC(=O)OC(C)C1,[*]OC(C)CC(CC([*])=O)C(C)C,expt,0,1
63,0.0,1060.0,-5.9,C=C1CCOC1=O,[*]OCCC(=C)C([*])=O,expt,0,1
64,0.0,1062.0,-4.5,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,[*]O[Si](C)(C)N(C)[Si](C)(C)O[Si]([*])(C)C,expt,0,1
65,0.0,1063.0,-23.9,CC1OC(=O)C(C)OC1=O,[*]OC(C)C(=O)OC(C)C([*])=O,expt,0,1
66,0.0,1066.0,-16.8252222,C1=CCCC1,[*]CC=CCC[*],expt,0,1
67,0.0,1067.0,-17.5751901,CC(C)(C)[Si](C)(C)OC1CC=CC1,[*]CC=CCC([*])O[Si](C)(C)C(C)(C)C,expt,0,1
68,0.0,1068.0,-21.0207189,O=C(OCc1ccccc1)C2CC=CC2,[*]CC=CCC([*])C(=O)OCc1ccccc1,expt,0,1
69,0.0,1069.0,-15.2803881,C2=CCC(OCc1ccccc1)C2,[*]CC=CCC([*])OCc1ccccc1,expt,0,1
70,0.0,1070.0,-17.5984707,C2=CCC(COCc1ccccc1)C2,[*]CC=CCC([*])COCc1ccccc1,expt,0,1
71,0.0,1071.0,-18.3999885,OCC1CC=CC1,[*]CC=CCC([*])CO,expt,0,1
72,0.0,1072.0,-14.83722525,COC(=O)C1CC=CC1,[*]CC=CCC([*])C(=O)OC,expt,0,1
73,0.0,1073.0,-12.7810494,O=C(O)C1CC=CC1,[*]CC=CCC([*])C(=O)O,expt,0,1
